iter	Passed	Remaining
0	217	43183
1	404	40049
2	567	37262
3	723	35475
4	885	34531
5	1043	33725
6	1212	33439
7	1372	32936
8	1522	32303
9	1676	31857
10	1838	31585
11	1993	31230
12	2147	30893
13	2297	30520
14	2453	30262
15	2612	30038
16	2770	29819
17	2929	29625
18	3092	29458
19	3242	29186
20	3400	28986
21	3555	28767
22	3710	28552
23	3850	28239
24	4010	28070
25	4158	27829
26	4308	27605
27	4464	27426
28	4613	27203
29	4763	26994
30	4915	26796
31	5066	26598
32	5217	26405
33	5368	26211
34	5510	25977
35	5669	25826
36	5818	25631
37	5972	25462
38	6137	25337
39	6281	25127
40	6431	24939
41	6573	24730
42	6729	24568
43	6882	24399
44	7031	24220
45	7188	24065
46	7340	23895
47	7492	23726
48	7632	23521
49	7783	23349
50	7936	23188
51	8077	22988
52	8235	22842
53	8383	22666
54	8548	22536
55	8697	22365
56	8851	22206
57	8999	22033
58	9150	21868
59	9305	21712
60	9455	21546
61	9611	21393
62	9765	21235
63	9915	21070
64	10064	20902
65	10216	20742
66	10367	20580
67	10510	20403
68	10656	20231
69	10806	20069
70	10950	19896
71	11095	19725
72	11257	19584
73	11411	19430
74	11557	19261
75	11702	19093
76	11845	18921
77	12006	18778
78	12161	18627
79	12311	18467
80	12469	18319
81	12622	18164
82	12772	18005
83	12913	17833
84	13065	17676
85	13215	17518
86	13372	17368
87	13515	17201
88	13666	17044
89	13827	16900
90	13977	16742
91	14131	16589
92	14280	16430
93	14423	16264
94	14569	16102
95	14724	15951
96	14867	15787
97	15011	15624
98	15189	15496
99	15342	15342
100	15490	15183
101	15643	15030
102	15788	14868
103	15930	14705
104	16079	14548
105	16234	14396
106	16377	14234
107	16529	14080
108	16683	13928
109	16825	13766
110	16969	13606
111	17118	13450
112	17282	13305
113	17421	13142
114	17570	12987
115	17718	12830
116	17875	12680
117	18013	12517
118	18154	12357
119	18311	12207
120	18461	12053
121	18614	11900
122	18764	11746
123	18912	11591
124	19053	11432
125	19203	11278
126	19344	11119
127	19491	10964
128	19640	10809
129	19799	10661
130	19946	10506
131	20096	10352
132	20247	10199
133	20385	10040
134	20535	9887
135	20685	9734
136	20833	9580
137	20985	9428
138	21136	9275
139	21289	9124
140	21430	8967
141	21588	8817
142	21746	8668
143	21887	8511
144	22032	8357
145	22171	8200
146	22324	8049
147	22460	7891
148	22605	7737
149	22753	7584
150	22895	7429
151	23045	7277
152	23187	7123
153	23337	6970
154	23488	6819
155	23638	6667
156	23789	6515
157	23941	6364
158	24088	6211
159	24245	6061
160	24408	5912
161	24580	5765
162	24748	5617
163	24907	5467
164	25068	5317
165	25212	5163
166	25382	5015
167	25566	4869
168	25747	4722
169	25976	4584
170	26152	4435
171	26342	4288
172	26514	4138
173	26711	3991
174	26905	3843
175	27087	3693
176	27270	3543
177	27468	3394
178	27657	3244
179	27868	3096
180	28064	2946
181	28258	2794
182	28432	2641
183	28607	2487
184	28795	2334
185	28949	2179
186	29108	2023
187	29244	1866
188	29399	1711
189	29546	1555
190	29688	1398
191	29882	1245
192	30075	1090
193	30266	936
194	30480	781
195	30730	627
196	30915	470
197	31168	314
198	31360	157
199	31502	0
